0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
5.3125 10.6406 15.9688 21.2969 26.625 31.9531 37.2812 42.6094 
